order_id,date,time,item_name,item_type,item_price,spice_level,quantity,transaction_amount,transaction_type,received_by,season,weather,is_weekend,is_holiday
ORD-20240501-2830,2024-05-01,08:00:00,Masala Dosa,Breakfast,120,Medium,4,480,Online,Raj,Summer,Hot,False,True
ORD-20240501-6824,2024-05-01,08:18:22,Poha,Breakfast,60,Mild,4,240,Online,Rahul,Summer,Hot,False,True
ORD-20240501-9699,2024-05-01,08:36:44,Idli Sambar,Breakfast,80,Medium,3,240,Card,Sneha,Summer,Hot,False,True
ORD-20240501-8476,2024-05-01,08:55:06,Masala Dosa,Breakfast,120,Medium,3,360,Cash,Meera,Summer,Hot,False,True
ORD-20240501-2548,2024-05-01,09:13:28,Poha,Breakfast,60,Mild,1,60,UPI,Raj,Summer,Hot,False,True
ORD-20240501-4460,2024-05-01,09:31:50,Masala Dosa,Breakfast,120,Medium,4,480,Card,Meera,Summer,Hot,False,True
ORD-20240501-8476,2024-05-01,09:50:12,Masala Dosa,Breakfast,120,Medium,4,480,UPI,Meera,Summer,Hot,False,True
ORD-20240501-9193,2024-05-01,10:08:34,Poha,Breakfast,60,Mild,4,240,UPI,Meera,Summer,Hot,False,True
ORD-20240501-5976,2024-05-01,10:26:56,Idli Sambar,Breakfast,80,Medium,3,240,Online,Rahul,Summer,Hot,False,True
ORD-20240501-1788,2024-05-01,10:45:18,Upma,Breakfast,70,Mild,1,70,Cash,Amit,Summer,Hot,False,True
ORD-20240501-4067,2024-05-01,11:03:40,Upma,Breakfast,70,Mild,1,70,Card,Suresh,Summer,Hot,False,True
ORD-20240501-5042,2024-05-01,11:22:02,Upma,Breakfast,70,Mild,1,70,Card,Rahul,Summer,Hot,False,True
ORD-20240501-4243,2024-05-01,11:40:24,Poha,Breakfast,60,Mild,1,60,Online,Meera,Summer,Hot,False,True
ORD-20240501-5385,2024-05-01,11:58:46,Idli Sambar,Breakfast,80,Medium,3,240,Card,Amit,Summer,Hot,False,True
ORD-20240501-2855,2024-05-01,12:17:08,Veg Biryani,Main Course - Vegetarian,250,Spicy,3,750,Cash,Sneha,Summer,Hot,False,True
ORD-20240501-7907,2024-05-01,12:35:30,Veg Biryani,Main Course - Vegetarian,250,Spicy,1,250,Card,Suresh,Summer,Hot,False,True
ORD-20240501-6763,2024-05-01,12:53:52,Bhindi Masala,Main Course - Vegetarian,200,Medium,4,800,Online,Suresh,Summer,Hot,False,True
ORD-20240501-4405,2024-05-01,13:12:14,Tandoori Chicken,Main Course - Non-Vegetarian,360,Medium,1,360,UPI,Amit,Summer,Hot,False,True
ORD-20240501-5276,2024-05-01,13:30:36,Bhindi Masala,Main Course - Vegetarian,200,Medium,3,600,Cash,Priya,Summer,Hot,False,True
ORD-20240501-8677,2024-05-01,13:48:58,Tandoori Roti,Breads,40,None,1,40,UPI,Priya,Summer,Hot,False,True
ORD-20240501-4587,2024-05-01,14:07:20,Paneer Butter Masala,Main Course - Vegetarian,280,Medium,1,280,Cash,Meera,Summer,Hot,False,True
ORD-20240501-1849,2024-05-01,14:25:42,Garlic Naan,Breads,80,Mild,3,240,UPI,Amit,Summer,Hot,False,True
ORD-20240501-7400,2024-05-01,14:44:04,Butter Naan,Breads,60,None,4,240,Card,Raj,Summer,Hot,False,True
ORD-20240501-6279,2024-05-01,15:02:26,Tandoori Roti,Breads,40,None,4,160,UPI,Sneha,Summer,Hot,False,True
ORD-20240501-9023,2024-05-01,15:20:48,Bhindi Masala,Main Course - Vegetarian,200,Medium,3,600,Card,Amit,Summer,Hot,False,True
ORD-20240501-2172,2024-05-01,15:39:11,Veg Biryani,Main Course - Vegetarian,250,Spicy,4,1000,Online,Meera,Summer,Hot,False,True
ORD-20240501-6673,2024-05-01,15:57:33,Tandoori Chicken,Main Course - Non-Vegetarian,360,Medium,3,1080,Card,Suresh,Summer,Hot,False,True
ORD-20240501-1038,2024-05-01,16:15:55,Lassi,Beverages,80,None,4,320,Online,Raj,Summer,Hot,False,True
